,0
0,2.525139692475698
1,3.120369542645233
2,2.748630713190697
3,2.340178065744244
4,2.006688141781395
5,2.4015965736505813
6,2.00863783449
7,1.9071355519060469
8,2.09485914705
9,2.0508599196167445
10,1.975439993010698
11,2.024801979792558
12,2.1685451862802325
13,2.0378126334709883
14,1.946587600110872
15,1.840784450995814
16,1.9962937278094184
17,2.227535328015
18,2.194950950372093
19,2.369717391192384
20,2.2319048633406977
21,2.031989251683314
22,2.2136066228947677
23,1.7698412942905817
24,1.8640090751445348
25,2.0037704607769187
26,2.1870814933287206
27,2.3130046859565696
28,2.1696263830353484
29,2.3273921004451745
30,2.26556399124
31,2.3904941950559304
32,2.603617386038372
33,2.7885292518139533
34,3.2304612708858143
35,2.7447265179069773
36,2.733890639690407
37,2.7319023384988954
38,2.714665120052965
39,2.090055129847675
40,2.16633269372093
41,2.011983170340349
42,2.166606410359884
43,2.706696498970988
44,2.933747260348605
45,2.000317700536744
46,2.068796952799535
47,2.2452245680981395
48,1.9471615480721516
49,1.9572147434930232
50,2.3252782094560462
51,2.508914435682558
52,2.1537627409513957
53,2.6275207077488374
54,1.7697578198075583
55,1.6019143376694769
56,1.5425946765439535
57,2.2223746244368603
58,1.6281258973880233
59,2.0628806058165696
60,2.2484733113276163
61,1.539186305447791
62,1.6773286813780814
63,1.771838351832558
64,1.4869890062850002
65,1.4915020597126745
66,1.99182966009
67,2.3933092041544186
68,2.121365126173953
69,2.1538343945877907
70,2.0432920606299416
71,1.8726723347044183
72,2.262590179984185
73,1.9543263045062795
74,2.7413981974908137
75,3.217930900205581
76,3.4343126858302333
77,2.4808374073831394
78,2.4758430255158723
79,2.254916700760465
80,2.9446638784194765
81,2.3409901765158136
82,3.200505138837209
83,3.212545684812035
84,4.029991877051163
85,3.675913473207906
86,4.101391517389534
87,2.7360206746278486
88,2.887883112628256
89,2.957584485222384
90,2.5083873934440697
91,3.2915021197677907
92,2.765686758057384
93,4.033037757141628
94,3.38648779914907
95,2.878821798524652
96,2.7000153914023257
97,3.389726081436278
98,2.671386239668605
99,2.216785619213372
100,1.9801078290978489
101,1.8109363953797093
102,2.3357600396058142
103,1.993096988268314
104,1.7952324998450584
105,1.537354523127907
106,1.7700349388473255
107,1.6199197526642444
108,2.3644334012288373
109,2.49234553523093
110,2.3803433911125005
111,2.5790165083904646
112,3.4364143417691864
113,4.053591458284885
114,3.5662373255686046
115,3.1267795718433136
116,3.4785381798851165
117,3.13477534055407
118,3.0969752658641863
119,2.581850397972034
120,2.0061625309137208
121,3.1510252920566866
122,3.0811347970520933
123,3.1557254916390702
124,4.830949886947675
125,3.8597513434220927
126,2.6761538170451167
127,2.4720551806210467
128,2.63644433815814
129,2.2528046051513373
130,2.589970846866279
131,2.5347257719135463
132,1.902914915890465
133,2.347647821878779
134,2.24259840432
135,2.723124608202558
136,3.824645642179535
137,3.1414888114404067
138,2.9818749201303487
139,3.107468159832907
140,2.412118048798256
141,1.838693705306337
142,1.8269598730988372
143,2.9312417556272097
144,3.534244409260465
145,2.814863978572849
146,3.1010789098077907
147,2.878803828222384
148,2.3313216582976746
149,3.3059582573159303
150,1.8571085412092443
151,1.9989896045462792
152,2.9092797721056973
153,3.492229877165581
154,3.553943793825872
155,3.5103064528343024
156,4.123632008023256
157,4.022730823137209
158,4.286694863837791
159,3.795891918181396
160,3.0432351595688374
161,2.769664402734594
162,2.6668504668531976
163,2.545197795700465
164,1.98448287576
165,1.9225854224614536
166,2.876764000675116
167,3.1611799152629647
168,2.572132561531221
169,1.581690383762965
170,1.6197202176436043
171,1.4843526325053489
172,2.2183423160624995
173,1.6395037355059885
174,2.653781458332558
175,3.158061513976046
176,2.5619748169744185
177,1.7065766157296511
178,1.994307361768605
179,1.9970963768061627
180,1.983720333012558
181,2.0612176734055816
182,2.122179023387442
183,2.609316656793314
184,3.2282630199408144
185,1.9267423259609304
186,1.326252757077384
187,2.266505004908372
188,1.7040879532794768
189,1.4195718291425583
190,1.951237339207849
191,2.519318935722384
192,1.86557065588657
193,1.830434392665
194,1.6187350043511626
195,2.165081478785756
196,2.2622439341093026
197,2.275038505909884
198,2.034899458084884
199,2.533485787990116
200,1.8158649500372093
201,2.2003604647880235
202,3.312702861083896
203,2.948319266526453
204,2.822667998003024
205,3.294002511348837
206,2.817706063093256
207,3.1360187480743607
208,3.3021427741936047
209,2.5621125216097678
210,2.4313068774990705
211,2.3168536060510463
212,1.5497856484262793
213,1.8891793315590697
214,2.47029339533721
215,2.587219589945058
216,2.601440689924185
217,2.3503571968123254
218,2.0944751163976743
219,2.405819753256976
220,2.795251206947442
221,2.968323005503605
222,2.108586434446221
223,2.298402734548605
224,2.322293596721163
225,2.913677458320349
226,2.64935662186186
227,2.808715781597616
228,2.681568878715697
229,1.8957840858610464
230,2.201193506114826
231,1.4605957698436045
232,2.169984874206454
233,2.287079275424128
234,1.8970757072113955
235,2.4909987662665114
236,2.6184413696185467
237,2.0911353163343023
238,2.589170705972791
239,2.739570083750581
240,2.510760397425
241,2.360864204675232
242,1.6864188763744188
243,1.658486387193488
244,2.11086404395814
245,2.114560566512093
246,1.5955830519373255
247,1.556276289993314
248,1.6058498575829654
249,2.1795642620752327
250,2.2223722770533723
251,1.8708192108031396
252,1.254837238860872
253,1.732109496203721
254,1.6987666350962791
255,1.908810699782965
256,2.7693219381150005
257,2.541810917074884
258,2.968983623160524
259,2.377248343283721
260,2.2454934349144184
261,2.7992699692377903
262,2.341476510410581
263,2.147742259287907
264,2.1867403125683724
265,2.6734725799405816
266,2.435594047965349
267,2.0609085148639537
268,1.2539157801961047
269,2.732926505668605
270,3.5420839032486637
271,2.5462720640190697
272,2.468928837363488
273,2.415453008595698
274,2.634880725527442
275,3.2909254674073254
276,2.8734577632418605
277,2.8689753187590696
278,2.504836543268546
279,1.6343973452131393
280,1.7455455841721514
281,1.7086501859651162
282,1.5718229883732555
283,1.9558969128376744
284,2.212836010104593
285,2.3841740389803494
286,1.9839205227976744
287,2.0302525906656976
288,1.9795219574586629
289,2.1436142998203485
290,2.0288396974423257
291,2.091535145389884
292,2.307462803796279
293,2.4903512101255814
294,2.57720092456657
295,2.74971711622186
296,3.1381598335875
