,Median,5perc,95perc
1750,0.0,0.0,0.0
1751,7.9571895e-10,6.44498955e-10,9.4853926e-10
1752,1.591438e-09,1.28899755e-09,1.89707835e-09
1753,2.3871569999999997e-09,1.93349675e-09,2.8456174999999996e-09
1754,3.1828755000000003e-09,2.577996e-09,3.79415665e-09
1755,3.978595e-09,3.2224943000000002e-09,4.74269585e-09
1756,4.774313499999999e-09,3.86699355e-09,5.6912359499999994e-09
1757,5.5700325e-09,4.51149275e-09,6.6397751e-09
1758,6.365752e-09,5.155992e-09,7.5883143e-09
1759,7.1614705e-09,5.800490300000001e-09,8.53685345e-09
1760,7.957189499999999e-09,6.44498955e-09,9.4853926e-09
1761,8.7529085e-09,7.08948875e-09,1.0433931999999999e-08
1762,9.5486275e-09,7.73398705e-09,1.1382471999999999e-08
1763,1.0344349999999999e-08,8.3784863e-09,1.2331011999999999e-08
1764,1.1140065e-08,9.02298555e-09,1.3279551999999998e-08
1765,1.1935785e-08,9.6674838e-09,1.4228092e-08
1766,1.2731504999999999e-08,1.0311988e-08,1.5176632499999998e-08
1767,1.352722e-08,1.09564775e-08,1.6125163e-08
1768,1.432294e-08,1.1600977e-08,1.7073703e-08
1769,1.5118665e-08,1.2245476000000001e-08,1.8022243e-08
1770,1.591438e-08,1.28899755e-08,1.89707835e-08
1771,1.67101e-08,1.35344745e-08,1.99193235e-08
1772,1.7505815000000002e-08,1.4178973499999999e-08,2.08678635e-08
1773,1.8301535e-08,1.4823473e-08,2.18164035e-08
1774,1.9097255e-08,1.5467972e-08,2.2764943999999998e-08
1775,1.9892970000000002e-08,1.61124715e-08,2.3713483999999997e-08
1776,2.068869e-08,1.6756970499999998e-08,2.4662023999999997e-08
1777,2.1484415e-08,1.740147e-08,2.5610563999999997e-08
1778,2.228013e-08,1.8045968999999998e-08,2.65590945e-08
1779,2.307585e-08,1.8690468500000003e-08,2.7507634999999997e-08
1780,2.387157e-08,1.9334967500000002e-08,2.8456175e-08
1781,2.4667285e-08,1.9979467e-08,2.9404715e-08
1782,2.5463005e-08,2.0623966e-08,3.0353255e-08
1783,2.6258725e-08,2.12684655e-08,3.13017955e-08
1784,2.705444e-08,2.19129645e-08,3.22503355e-08
1785,2.7850165e-08,2.2557464e-08,3.3198875500000003e-08
1786,2.8645885e-08,2.3201963e-08,3.41474155e-08
1787,2.9441599999999998e-08,2.38464625e-08,3.5095956e-08
1788,3.0237320000000004e-08,2.44909615e-08,3.6044495999999994e-08
1789,3.103304e-08,2.5135461e-08,3.6993026499999996e-08
1790,3.1828755e-08,2.577996e-08,3.79415665e-08
1791,3.2624475e-08,2.64244595e-08,3.8890107e-08
1792,3.34202e-08,2.70689585e-08,3.9838647e-08
1793,3.4215915e-08,2.77134575e-08,4.0787186999999997e-08
1794,3.5011634999999996e-08,2.8357956999999998e-08,4.1735727e-08
1795,3.5807355e-08,2.9002456e-08,4.2684266999999996e-08
1796,3.660307e-08,2.96469555e-08,4.36328075e-08
1797,3.7398789999999996e-08,3.0291454500000004e-08,4.4581347500000004e-08
1798,3.819451e-08,3.0935954000000005e-08,4.55298875e-08
1799,3.8990225e-08,3.15804435e-08,4.64784275e-08
1800,3.978595e-08,3.2224943e-08,4.74269585e-08
1801,4.058167e-08,3.2869442e-08,4.8375498499999997e-08
1802,4.1377384999999994e-08,3.35139415e-08,4.93240385e-08
1803,4.2173105e-08,3.4158440500000004e-08,5.0272578499999996e-08
1804,4.2968825000000006e-08,3.480294e-08,5.1221119e-08
1805,4.376454e-08,3.5447439000000004e-08,5.2169659e-08
1806,4.456026e-08,3.60919385e-08,5.3118199e-08
1807,4.5355985e-08,3.67364375e-08,5.4066738999999997e-08
1808,4.61517e-08,3.7380937000000005e-08,5.5015279e-08
1809,4.6947420000000005e-08,3.8025436e-08,5.59638195e-08
1810,4.7743135000000006e-08,3.86699355e-08,5.6912359499999994e-08
1811,4.8538855e-08,3.93144345e-08,5.7860889999999996e-08
1812,4.9334575000000005e-08,3.9958934e-08,5.880943e-08
1813,5.013029e-08,4.0603433e-08,5.97579705e-08
1814,5.092601e-08,4.1247932e-08,6.07065105e-08
1815,5.1721735e-08,4.1892431500000006e-08,6.16550505e-08
1816,5.251745e-08,4.25369305e-08,6.260359049999999e-08
1817,5.3313170000000004e-08,4.3181430000000006e-08,6.3552131e-08
1818,5.4108889999999996e-08,4.3825929e-08,6.4500671e-08
1819,5.4904605e-08,4.44704285e-08,6.5449211e-08
1820,5.5700325000000003e-08,4.51149275e-08,6.639775100000001e-08
1821,5.6496044999999996e-08,4.5759427e-08,6.7346291e-08
1822,5.7291765e-08,4.6403926e-08,6.829482199999999e-08
1823,5.8087485e-08,4.70484255e-08,6.9243362e-08
1824,5.8883205e-08,4.7692924500000006e-08,7.0191902e-08
1825,5.967891999999999e-08,4.8337424e-08,7.114044199999999e-08
1826,6.047464000000001e-08,4.8981923e-08,7.20889825e-08
1827,6.127036e-08,4.96264225e-08,7.30375225e-08
1828,6.2066075e-08,5.02709215e-08,7.398606249999999e-08
1829,6.2861795e-08,5.0915420999999995e-08,7.493460249999999e-08
1830,6.365752e-08,5.155992e-08,7.5883143e-08
1831,6.445323500000001e-08,5.22044195e-08,7.6831683e-08
1832,6.5248955e-08,5.2848909000000006e-08,7.7780223e-08
1833,6.604467499999999e-08,5.34934085e-08,7.87287535e-08
1834,6.684039e-08,5.41379075e-08,7.96772935e-08
1835,6.763611e-08,5.47824065e-08,8.0625834e-08
1836,6.843183e-08,5.5426906e-08,8.157437399999999e-08
1837,6.922755e-08,5.6071405e-08,8.2522914e-08
1838,7.002326999999999e-08,5.67159045e-08,8.3471454e-08
1839,7.081899000000001e-08,5.7360403500000007e-08,8.44199945e-08
1840,7.1614705e-08,5.8004903e-08,8.53685345e-08
1841,7.2410425e-08,5.8649402e-08,8.63170745e-08
1842,7.3206145e-08,5.92939015e-08,8.72656145e-08
1843,7.400186e-08,5.99384005e-08,8.8214155e-08
1844,7.479757999999999e-08,6.05829e-08,8.916268549999999e-08
1845,7.5593305e-08,6.1227399e-08,9.011122549999999e-08
1846,7.638902e-08,6.18718985e-08,9.105976549999999e-08
1847,7.718474e-08,6.25163975e-08,9.2008306e-08
1848,7.7980455e-08,6.3160897e-08,9.295684599999999e-08
1849,7.877617499999999e-08,6.3805396e-08,9.390538599999999e-08
1850,7.957189500000001e-08,6.44498955e-08,9.485392599999999e-08
1851,8.2274295e-08,6.663872299999999e-08,9.807532699999999e-08
1852,8.532532499999999e-08,6.910993e-08,1.01712315e-07
1853,8.838940000000001e-08,7.1591707e-08,1.0536482e-07
1854,9.146175e-08,7.4080184e-08,1.0902721999999999e-07
1855,9.454737e-08,7.6579401e-08,1.12705515e-07
1856,9.764789e-08,7.90906885e-08,1.16401515e-07
1857,1.00765e-07,8.16153855e-08,1.2011722e-07
1858,1.0390020000000001e-07,8.41548225e-08,1.2385462e-07
1859,1.070553e-07,8.671031950000001e-08,1.2761562e-07
1860,1.102319e-07,8.92832165e-08,1.3140232e-07
1861,1.134316e-07,9.18748335e-08,1.3521652e-07
1862,1.2651405e-07,1.0247108e-07,1.5081143e-07
1863,1.297649e-07,1.05104175e-07,1.5468663e-07
1864,1.330438e-07,1.0775988e-07,1.5859532499999999e-07
1865,1.363525e-07,1.1043977e-07,1.6253933e-07
1866,1.396924e-07,1.1314497000000001e-07,1.6652073e-07
1867,1.5292335e-07,1.23861455e-07,1.8229273e-07
1868,1.5633084999999998e-07,1.2662145500000002e-07,1.8635473e-07
1869,1.597747e-07,1.2941075e-07,1.9045993e-07
1870,1.632564e-07,1.3223084499999998e-07,1.9461033e-07
1871,1.766357e-07,1.43067435e-07,2.1055913499999999e-07
1872,1.8019815e-07,1.4595293e-07,2.1480573999999998e-07
1873,1.8380345e-07,1.48873125e-07,2.1910353499999998e-07
1874,1.9731125e-07,1.59813815e-07,2.3520543999999998e-07
1875,2.010072e-07,1.62807315e-07,2.3961124e-07
1876,2.1460885e-07,1.7382410000000003e-07,2.5582514e-07
1877,2.1840195e-07,1.76896395e-07,2.60346645e-07
1878,2.32104e-07,1.8799448500000002e-07,2.76680345e-07
1879,2.360009e-07,1.9115077999999998e-07,2.8132554999999994e-07
1880,2.4981004999999995e-07,2.02335665e-07,2.9778685e-07
1881,2.5381714999999996e-07,2.0558126e-07,3.02563555e-07
1882,2.6774e-07,2.16858145e-07,3.19160255e-07
1883,2.8172195e-07,2.28182935e-07,3.35827555e-07
1884,2.9576490000000004e-07,2.39557125e-07,3.5256746e-07
1885,3.000125e-07,2.4299752e-07,3.5763086e-07
1886,3.1418215e-07,2.5447440499999997e-07,3.7452186e-07
1887,3.2841775e-07,2.6600459e-07,3.9149137e-07
1888,3.4272065e-07,2.77589375e-07,4.0854126499999996e-07
1889,3.5709285e-07,2.89230265e-07,4.2567367e-07
1890,3.7153569999999997e-07,3.0092835e-07,4.42890275e-07
1891,3.8605995e-07,3.1269234e-07,4.60203975e-07
1892,4.007228e-07,3.2456862500000004e-07,4.77682785e-07
1893,4.1549245e-07,3.3653141e-07,4.952890849999999e-07
1894,4.3038325e-07,3.4859239500000003e-07,5.1303969e-07
1895,4.5525614999999997e-07,3.6873837e-07,5.4268949e-07
1896,4.703977e-07,3.8100235999999997e-07,5.60739095e-07
1897,4.8566895e-07,3.93371445e-07,5.789432e-07
1898,5.1093065e-07,4.1383242e-07,6.090565e-07
1899,5.2646945e-07,4.2641811e-07,6.275795099999999e-07
1900,5.519949500000001e-07,4.4709268499999996e-07,6.580073099999999e-07
1901,5.685695000000001e-07,4.60517465e-07,6.77765015e-07
1902,8.5479205e-07,6.923456950000001e-07,1.0189571999999999e-06
1903,1.1845325e-06,9.594212850000001e-07,1.4120252499999999e-06
1904,1.5330715e-06,1.24172355e-06,1.8275033e-06
1905,1.959728e-06,1.5872972e-06,2.3361003499999997e-06
1906,2.5315955e-06,2.0504866e-06,3.0177964999999997e-06
1907,3.3067924999999997e-06,2.6783629e-06,3.94187265e-06
1908,4.3057385000000004e-06,3.48746795e-06,5.132668899999999e-06
1909,4.964023e-06,4.02065035e-06,5.9173789999999995e-06
1910,6.423659e-06,5.202894e-06,7.657342299999998e-06
1911,1.782806e-05,1.4439983e-05,2.1251993499999998e-05
1912,2.291672e-05,1.85615785e-05,2.7317945e-05
1913,2.8278265e-05,2.29042135e-05,3.3709195999999995e-05
1914,4.383026e-05,3.5500669e-05,5.2247998999999996e-05
1915,6.722122e-05,5.4446367000000004e-05,8.01312635e-05
1916,0.00010447559999999999,8.4620832e-05,0.00012454042
1917,0.00014838495,0.00012018556,0.00017688273
