,Median,5perc,95perc
1750,0.0,0.0,0.0
1751,0.28799135,0.2241088925,0.35216881999999994
1752,0.26411727500000004,0.20760575250000002,0.32126825999999997
1753,0.2259825,0.175040295,0.277314955
1754,0.18348330000000002,0.1322342875,0.2348112925
1755,0.1400249,0.09078502425000001,0.1891844825
1756,-0.112285925,-0.1459377925,-0.07821248050000003
1757,0.040431444999999996,0.014716163425,0.06548200474999998
1758,0.18539967499999999,0.146091635,0.22491831749999996
1759,0.267223325,0.2100935125,0.32454332249999995
1760,0.2980648,0.2300444075,0.3658118724999999
1761,0.30121605,0.23512946,0.3672903375
1762,-0.71840735,-0.92238951,-0.5142132725000002
1763,-0.4391236,-0.5637942575,-0.31418939
1764,-0.013967984000000001,-0.03117422075,0.006889941749999996
1765,0.1048968,0.0696273155,0.139890515
1766,-0.218545625,-0.27575349749999994,-0.16132207500000006
1767,-0.2615179,-0.3299077675,-0.19325078750000016
1768,0.06887636,0.04302690675,0.08821715625
1769,0.258418,0.2016966975,0.31479081999999997
1770,0.185093175,0.12466932750000002,0.24538285999999995
1771,0.249931025,0.1895152275,0.3098592175
1772,0.30373859999999997,0.243464145,0.3643835824999999
1773,0.29290455,0.23891069750000002,0.34733682499999996
1774,0.24531805,0.19367008500000002,0.2969485699999999
1775,0.2226845,0.1702454125,0.2751483549999999
1776,0.20990637499999998,0.15376826,0.2661002825
1777,0.208958025,0.1527964025,0.265100875
1778,0.24999327500000001,0.1968172625,0.30313609249999995
1779,0.330438875,0.267475525,0.39367181749999997
1780,0.365143975,0.2855419875,0.44414598
1781,0.37277202499999995,0.29441990500000004,0.45099239249999995
1782,0.35261089999999995,0.28343839,0.4220053625
1783,-1.670172,-2.1202259,-1.2217863250000005
1784,-3.78970375,-4.761761775,-2.819416900000002
1785,-1.4338030000000002,-1.804238525,-1.0642281750000002
1786,-0.51606065,-0.6562153074999999,-0.37642942000000024
1787,-0.072227795,-0.10882035999999999,-0.03579588125000005
1788,0.18833465,0.14285666,0.22834895
1789,0.349709625,0.2739941025,0.424385765
1790,0.40185222499999995,0.31170801000000004,0.49092772499999987
1791,0.409131775,0.32563813999999996,0.49236464999999996
1792,0.4000939,0.32360657750000005,0.47700834999999997
