,mean,median,5perc,95perc
Tot,3.1238720667500117,3.11141125,2.59001925,3.6943807
VAL,2.9987377152894608,2.98591125,2.4730836750000003,3.56075205
CONTRAILS,0.05931846582306886,0.058998425,0.0163079225,0.10283794000000002
LANDUSE,-0.1939292814396595,-0.194178675,-0.3035668825,-0.08412172475
AEROSOLRI,-0.16004413624234184,-0.16115996,-0.44205885,0.12431158675000006
AEROSOLCI,-0.633489928813137,-0.635112975,-1.0573244700000002,-0.20021290749999984
LLGHG,3.3093572269184444,3.30892385,2.9823113200000004,3.6361193700000003
CO2,2.1494241833815657,2.1498369999999998,1.8613279500000002,2.43837015
CH4,0.5449477864960501,0.5448439,0.424845005,0.66511011
N2O,0.20841880249605374,0.2083724,0.17137047,0.24526423500000002
OtherWMGHG,0.4065664545447344,0.4065413,0.32103790000000004,0.4920876
O3,0.49565753525451134,0.4961137,0.2359192925,0.75593445
SNOWALBEDO,0.0942071727017083,0.090127275,-0.0011131232999999979,0.1995146875
STRATH2O,0.0502060921365784,0.050329465000000004,-0.004915279999999998,0.10514185500000002
SUN,-0.02254542935991947,-0.0224142285,-0.100884274,0.05558202900000001
VOLC_annual,0.12513435198000136,0.12484529999999999,0.0932300745,0.157723305
aero,-0.7935340654851906,-0.799239425,-1.2216461425,-0.3477894449999999
antro,3.0212831456512976,3.00847075,2.4996139,3.5801396750000007
