,mean,median,5perc,95perc
Tot,3.014078550355263,3.0041907500000002,2.4887467,3.57021475
VAL,2.889402011494737,2.87924325,2.371290475,3.438708325
CONTRAILS,0.05002259155387329,0.04973176,0.01393420525,0.086719755
LANDUSE,-0.1923671859744227,-0.19264427500000003,-0.3014683,-0.08284090724999996
AEROSOLRI,-0.19421733946452924,-0.19370767499999997,-0.4900327949999999,0.09955111475000004
AEROSOLCI,-0.5762649707406887,-0.5764997000000001,-1.035730195,-0.11558095449999996
LLGHG,3.0936163951578948,3.0943527500000005,2.78340488,3.39882596
CO2,1.9735195815131577,1.973763,1.70576135,2.2386602
CH4,0.5295674190618421,0.52974855,0.413044855,0.6455908149999999
N2O,0.19353103596842108,0.19355275,0.15912757,0.227629065
OtherWMGHG,0.3969983586144737,0.39704680000000003,0.31344405000000003,0.481102155
O3,0.49904960013943406,0.499546125,0.23889505500000002,0.7590213950000001
SNOWALBEDO,0.09901658617101572,0.09460070000000001,-0.0009130121749999995,0.20968247250000005
STRATH2O,0.04873110372603402,0.04871934,-0.004830040899999998,0.10251564500000003
SUN,0.06181522995409212,0.0616255235,-0.019964880500000004,0.143981458
VOLC_annual,0.12467654086381579,0.12440804999999999,0.0930620215,0.15708079
aero,-0.7704823099512664,-0.774970425,-1.2013108125,-0.32420104499999997
antro,2.827586780417763,2.8175997500000003,2.3095703000000003,3.374869525
