,mean,median,5perc,95perc
Tot,2.354910172196819,2.37822225,1.20489881,3.4285478499999997
VAL,2.4248681255623965,2.4479555,1.2760605,3.4985223999999984
CONTRAILS,0.06634963001074992,0.054520025,0.021172710000000004,0.15100229499999984
LANDUSE,-0.15013249030278727,-0.150038595,-0.25447427499999997,-0.046242104500000096
LLGHG,2.9313154389099347,2.932073,2.3550367,3.5076519
O3,0.3498370610461182,0.34939185,0.13879266975000004,0.5619674699999999
SNOWALBEDO,0.04544608747319526,0.040047192499999995,0.017288992250000003,0.09177430499999999
STRATH2O,0.07358381766763351,0.073609725,0.0219574215,0.12511898499999988
SUN,0.046759490740599596,0.046709655,-0.004906347399999999,0.09844410199999995
VOLC_annual,-0.0699579532677498,-0.0699767875,-0.0937293075,-0.04617499250000002
aero,-0.9382909099487471,-0.9007160250000001,-1.9159049,-0.08221672000000062
antro,2.3781086346901983,2.40123075,1.2297399,3.4487186999999984
