,OutputAnalyse19NewPrior_W_cpi_2
0.6679808992562357,0.0004626363876866196
0.772954183941627,0.0010174832792002302
0.8779274686270181,0.0017763418508201939
0.9829007533124092,0.004263344791179689
1.0878740379978005,0.00931968806566305
1.1928473226831917,0.019568750072293393
1.2978206073685827,0.037554711246986616
1.402793892053974,0.066787180781661
1.5077671767393652,0.11283117876149076
1.6127404614247565,0.175065312821227
1.7177137461101477,0.2566551817467108
1.8226870307955387,0.3577968784814128
1.92766031548093,0.46462339044415807
2.032633600166321,0.5675990285398907
2.1376068848517122,0.6578240485084987
2.2425801695371037,0.7011359855153494
2.3475534542224947,0.7251851838366787
2.4525267389078858,0.7288771034267088
2.557500023593277,0.6953287863824521
2.6624733082786682,0.6347536861293859
2.7674465929640597,0.567640388227911
2.8724198776494507,0.49206586631259275
2.9773931623348417,0.41960009923598623
3.082366447020233,0.3480354917668045
3.1873397317056242,0.2844085909609084
3.2923130163910153,0.23100128060903813
3.3972863010764067,0.18803468339710902
3.5022595857617977,0.15070046033353032
3.6072328704471888,0.12435155622965299
3.7122061551325802,0.10198859103131128
3.8171794398179713,0.07902763946589539
3.9221527245033627,0.060905439850488234
4.027126009188754,0.046848995732649217
4.132099293874145,0.03763855252050576
4.237072578559536,0.03092415958045692
4.342045863244927,0.023994821651464965
4.447019147930319,0.01977688732639322
4.55199243261571,0.016268080571247116
4.656965717301101,0.013382639122419292
4.761939001986492,0.011185541457091136
4.866912286671884,0.009907749547941982
4.971885571357275,0.00814639888504151
5.076858856042666,0.0062548799254768415
5.181832140728057,0.0050569955038759565
5.286805425413448,0.003847869334133643
5.391778710098839,0.0042096017693280165
5.496751994784231,0.004369884542665831
5.601725279469622,0.0032352508037314293
5.706698564155013,0.0023858602011577806
5.811671848840404,0.0016468853122987525
5.916645133525795,0.0012201844744482897
6.021618418211187,0.0015080835731458668
6.126591702896578,0.001137919649243585
6.231564987581969,0.0008001774153433057
6.33653827226736,0.0005494653252456283
6.441511556952751,0.0004840103415342166
6.546484841638142,0.0006923414431258213
6.651458126323534,0.0005848075803406911
6.756431411008925,0.0005039486809015559
6.861404695694316,0.0006005174789331078
6.966377980379707,0.0004489088176615398
7.071351265065098,0.00019165025513331624
7.17632454975049,0.00020597948448040912
7.281297834435881,0.00013298753391425083
7.386271119121272,0.0001661892344700926
7.491244403806663,0.0001706324210067472
7.596217688492054,5.472697540138956e-05
7.701190973177446,7.90949801728792e-05
7.806164257862837,2.2050197535333262e-05
7.911137542548228,2.0996026361144808e-06
8.016110827233618,4.984061651203925e-05
8.12108411191901,0.00015736309299894849
8.226057396604402,0.00010429666652124261
8.331030681289793,9.528740964795703e-05
8.436003965975184,0.00014833137362378867
8.540977250660575,7.602675611336581e-05
8.645950535345966,9.98028692545498e-05
8.750923820031357,0.00012402376758006292
8.855897104716748,2.790696904986813e-05
8.960870389402139,6.538314093268345e-05
9.065843674087532,4.9668863169908054e-05
9.170816958772923,7.359270599595262e-06
9.275790243458314,5.417024946274033e-05
9.380763528143705,6.10355524171415e-05
9.485736812829096,5.890492262285402e-06
9.590710097514487,4.86767387962738e-08
9.695683382199878,3.4442325783067456e-11
9.800656666885269,2.519435390602296e-15
9.90562995157066,1.0114002378814478e-11
10.01060323625605,2.0241691486017117e-08
10.115576520941442,3.4687393224597937e-06
10.220549805626835,5.089763910890092e-05
10.325523090312226,6.394766990422923e-05
10.430496374997617,6.879437398241047e-06
10.535469659683008,6.336978499092656e-08
10.640442944368399,5.0208403343277126e-11
10.74541622905379,1.2330909127380407e-09
10.85038951373918,5.74766077389074e-07
10.955362798424572,2.293979117563994e-05
11.060336083109963,7.839509741433186e-05
