,OutputAnalyse19NewPrior_W_cpi_2
-1998.0495831943374,1.9897270219549422e-07
-1977.6652439701522,1.476225545882434e-07
-1957.2809047459668,6.028792989803179e-08
-1936.8965655217817,1.3552719941295633e-08
-1916.5122262975965,1.677030623269499e-09
-1896.1278870734113,1.1422836459152827e-10
-1875.7435478492262,4.282776015749978e-12
-1855.3592086250408,8.838838559357696e-14
-1834.9748694008556,1.0041150540663347e-15
-1814.5905301766704,6.278995787901335e-18
-1794.206190952485,2.1613014364066876e-20
-1773.8218517282999,4.0950473649969725e-23
-1753.4375125041147,4.270915249120629e-26
-1733.0531732799295,2.4518924396812342e-29
-1712.6688340557444,7.748190901421097e-33
-1692.284494831559,1.3477757784764852e-36
-1671.9001556073738,1.2904863608776922e-40
-1651.5158163831886,6.801545808754582e-45
-1631.1314771590032,1.9732416459670436e-49
-1610.747137934818,3.1511665311003277e-54
-1590.362798710633,2.7700070495295782e-59
-1569.9784594864477,1.3403210255331799e-64
-1549.5941202622625,3.56989319809451e-70
-1529.2097810380772,5.2338353142119573e-76
-1508.825441813892,4.223799747550685e-82
-1488.4411025897068,1.876311859049601e-88
-1468.0567633655214,4.588018637954356e-95
-1447.6724241413363,7.974644976179445e-96
-1427.288084917151,3.487938029350124e-89
-1406.903745692966,8.397507595554122e-83
-1386.5194064687807,1.1129056972110173e-76
-1366.1350672445953,8.11887977089222e-71
-1345.7507280204102,3.260383108290899e-65
-1325.366388796225,7.207474782444092e-60
-1304.9820495720396,8.771017079797528e-55
-1284.5977103478544,5.876030119729823e-50
-1264.2133711236693,2.1672386731671027e-45
-1243.829031899484,4.400975698596426e-41
-1223.444692675299,4.921018395428987e-37
-1203.0603534511135,3.030319006483399e-33
-1182.6760142269284,1.0278745149186193e-29
-1162.2916750027432,1.921057403584772e-26
-1141.9073357785578,1.9791302072236352e-23
-1121.5229965543726,1.1246171908755182e-20
-1101.1386573301875,3.5277739477668095e-18
-1080.7543181060023,6.116130893559075e-16
-1060.3699788818171,5.87000582078374e-14
-1039.9856396576317,3.1256081087157616e-12
-1019.6013004334466,9.259819280398799e-11
-999.2169612092614,1.5317648977494213e-09
-978.8326219850761,1.420801780975047e-08
-958.4482827608908,7.423642708257877e-08
-938.0639435367057,2.1946390926181812e-07
-917.6796043125205,3.683868695956493e-07
-897.2952650883351,3.5177580482164405e-07
-876.9109258641499,1.9106111420186842e-07
-856.5265866399648,5.8892980897504276e-08
-836.1422474157796,1.0264089581595712e-08
-815.7579081915944,1.0069110193214892e-09
-795.373568967409,5.534764371043078e-11
-774.9892297432239,1.7070838711615157e-12
-754.6048905190387,6.523629989015424e-13
-734.2205512948533,2.2799707985675398e-11
-713.8362120706681,4.6216884059518175e-10
-693.451872846483,5.2300460925688486e-09
-673.0675336222978,3.352947224431065e-08
-652.6831943981126,1.255602766934557e-07
-632.2988551739272,2.9228976447431555e-07
-611.914515949742,4.707440763323932e-07
-591.5301767255569,5.82803292014192e-07
-571.1458375013715,5.491167735593647e-07
-550.7614982771863,3.513181789274446e-07
-530.3771590530012,1.4461749825195073e-07
-509.992819828816,8.643294274108514e-08
-489.6084806046308,2.2915405049489945e-07
-469.2241413804454,5.315919131674897e-07
-448.83980215626025,7.428586323703396e-07
-428.4554629320751,6.475470522707764e-07
-408.0711237078897,4.855788462676984e-07
-387.6867844837045,6.700860445141671e-07
-367.30244525951935,1.2269598968657092e-06
-346.9181060353342,1.7935042969793547e-06
-326.533766811149,2.0389293056975613e-06
-306.1494275869636,1.934585753429764e-06
-285.76508836277844,1.7081995033387996e-06
-265.3807491385933,1.6467178768410733e-06
-244.99640991440788,1.7949783053110688e-06
-224.6120706902227,1.834959148198649e-06
-204.22773146603754,1.7749024075944192e-06
-183.84339224185237,2.3076279349359736e-06
-163.4590530176672,3.7288802910658536e-06
-143.0747137934818,5.242140910993591e-06
-122.69037456929664,6.477781538682968e-06
-102.30603534511147,1.2082047002231064e-05
-81.92169612092607,7.96251685279721e-05
-61.5373568967409,0.0006470005309752552
-41.153017672555734,0.0032634640370605597
-20.768678448370565,0.009262140056215128
-0.38433922418539623,0.014603426496271022
20.0,0.012786211028088102
